WKT,gid,stop_a,stop_b,koereplan_version,meter
"LINESTRING (10.1652846 55.899362,10.165374 55.899059,10.165831 55.897533,10.16674 55.894472,10.166797 55.894275,10.16684 55.894154,10.166851 55.894123,10.166889 55.893989,10.167028 55.893494,10.1670782 55.8933158)","196896","727000509","727000301",K22,"682"
"LINESTRING (10.1652846 55.899362,10.165233 55.899537,10.164847 55.900827,10.164643 55.901531,10.164369 55.902459,10.164295 55.902831,10.164275 55.903073,10.164269 55.903329,10.164311 55.903652,10.164827 55.905608,10.165396 55.907725,10.165475 55.908054,10.16547 55.908312,10.165442 55.908481,10.164983 55.909849,10.164841 55.910259,10.164545 55.911134,10.16225 55.917865,10.162099 55.918268,10.16162 55.919707,10.160178 55.923094,10.160095 55.923214,10.159895 55.923426,10.1597 55.923578,10.159416 55.923738,10.155909 55.925374,10.155573 55.925531,10.155136 55.925737,10.154909 55.925835,10.154532 55.926014,10.154442 55.92606,10.15424 55.926133,10.154067 55.926197,10.153943 55.926243,10.154057 55.926333,10.154126 55.926403,10.154197 55.926502,10.154248 55.926612,10.154283 55.926744,10.154332 55.926977,10.154664 55.928821,10.154692 55.92906,10.154703 55.929319,10.154662 55.929634,10.154634 55.929735,10.154532 55.930102,10.154446 55.930407,10.154373 55.930668,10.154225 55.931212,10.153639 55.933368,10.153525 55.933752,10.153394 55.934063,10.15325 55.934334,10.153064 55.934633,10.152634 55.935275,10.1512856 55.9372895,10.149937 55.939304,10.149813 55.939657,10.149767 55.939857,10.149752 55.940128,10.149864 55.940823,10.150768 55.944744,10.151105 55.946168,10.151447 55.947628,10.151993 55.949954,10.152003 55.950001,10.1526774 55.952889,10.153352 55.955777,10.1534 55.956143,10.153386 55.956464,10.153271 55.956843,10.153026 55.957281,10.152652 55.957717,10.151115 55.959392,10.148484 55.962233,10.148261 55.962536,10.148095 55.962813,10.147983 55.96311,10.147943 55.963407,10.147936 55.963681,10.148184 55.964987,10.148246 55.965313,10.148378 55.966011,10.148528 55.966723,10.148694 55.967377,10.148773 55.967384,10.148843 55.967405,10.148896 55.967438,10.148925 55.96748,10.148925 55.967536,10.148882 55.967586,10.148806 55.967622,10.148709 55.967637,10.148809 55.968078,10.148875 55.968365,10.148971 55.968847,10.149098 55.969485,10.149107 55.96953,10.14915 55.969736,10.149202 55.969987,10.149291 55.970416,10.149396 55.970958,10.149435 55.971159,10.149497 55.9714744)","196892","727000509","727000701",K22,"8416"
"LINESTRING (10.2306726 55.9871837,10.230646 55.987519,10.230637 55.987585,10.230588 55.987641,10.230502 55.98768,10.230407 55.987707,10.229805 55.98782,10.222553 55.989182,10.222376 55.989246,10.222272 55.989318,10.221617 55.990098,10.221063 55.990716,10.221023 55.990831,10.221045 55.990941,10.221196 55.991141,10.221318 55.991303,10.221348 55.991343,10.2213752 55.991379)","198836","727000602","727003002",K22,"857"
"LINESTRING (10.2306726 55.9871837,10.230646 55.987519,10.230637 55.987585,10.230588 55.987641,10.230502 55.98768,10.230407 55.987707,10.229805 55.98782,10.222553 55.989182,10.222376 55.989246,10.222272 55.989318,10.221617 55.990098,10.221063 55.990716,10.221023 55.990831,10.221045 55.990941,10.221196 55.991141,10.221318 55.991303,10.221348 55.991343,10.22141 55.991425,10.221543 55.991602,10.221598 55.99176,10.221436 55.991748,10.221276 55.991764,10.220943 55.991815,10.220905 55.99182,10.220869 55.991826,10.220515 55.991866,10.220343 55.991879,10.219904 55.99191,10.219774 55.991907,10.219642 55.991897,10.218862 55.991762,10.218681 55.991742,10.218494 55.991726,10.218298 55.991718,10.218015 55.991739,10.212372 55.992515,10.210033 55.992771,10.208413 55.992842,10.206614 55.992963,10.205625 55.992932,10.204027 55.992985,10.202329 55.993041,10.200752 55.993063,10.200412 55.993067,10.200318 55.993071,10.19907 55.993077,10.198389 55.99305,10.197153 55.992949,10.196522 55.992937,10.195618 55.992994,10.194883 55.99307,10.194604 55.993099,10.19426 55.993124,10.19171 55.993152,10.190762 55.99314,10.190611 55.993128,10.190319 55.993424,10.190216 55.993527,10.19004 55.993745,10.189869 55.994032,10.189664 55.994316,10.189233 55.9949,10.189116 55.995066,10.188934 55.995341,10.188702 55.995691,10.188584 55.995869,10.188468 55.996045,10.187998 55.996754,10.187886 55.997048,10.187614 55.998708,10.187342 56.000368,10.187326 56.000503,10.187325 56.000587,10.18737 56.000646,10.187443 56.000695,10.187544 56.000742,10.187697 56.000777,10.188387 56.000881,10.188492 56.000904,10.188571 56.000945,10.188647 56.000997,10.188717 56.001082,10.188773 56.00118,10.18892 56.001447,10.18898 56.001535,10.189069 56.00163,10.189185 56.00174,10.189312 56.00185,10.189373 56.001921,10.189405 56.002002,10.189424 56.002106,10.189392 56.002219,10.189283 56.002506,10.189258 56.002676,10.189253 56.003154,10.18919 56.003298,10.189103 56.003398,10.188975 56.003518,10.188865 56.003579,10.188752 56.003623,10.188711 56.00363,10.188541 56.003655,10.188251 56.0037,10.188059 56.003726,10.18744 56.003811,10.187277 56.003834,10.187136 56.003856,10.186416 56.003978,10.186299 56.003997,10.185833 56.004096,10.185581 56.0042,10.185167 56.004433,10.184946 56.004574,10.18482 56.004652,10.184606 56.004766,10.184342 56.004946,10.183939 56.005111,10.18365 56.005219,10.183275 56.005396,10.183011 56.0055269)","198755","727000602","727004109",K22,"4564"
"LINESTRING (10.2309502 55.9832467,10.230837 55.983249,10.23076 55.984392,10.230741 55.985604,10.230694 55.986724,10.230686 55.987017,10.2305876 55.9870226)","177507","727000612","727000601",K22,"433"
"LINESTRING (10.2309502 55.9832467,10.230837 55.983249,10.23076 55.984392,10.230741 55.985604,10.230694 55.986724,10.230686 55.987017,10.230685 55.987028,10.2306726 55.9871837,10.2309502 55.9832467,10.230837 55.983249,10.23076 55.984392,10.230741 55.985604,10.230694 55.986724,10.230686 55.987017,10.230685 55.987028,10.2306726 55.9871837)","198813","727000612","727000602",K22,"1329"
"LINESTRING (10.2313145 55.9785848,10.231348 55.978258,10.231438 55.977259,10.231485 55.976885,10.231722 55.975676,10.231971 55.974612,10.233649 55.97464,10.233714 55.974641,10.2342559 55.9746508)","177508","727000621","727000202",K22,"587"
"LINESTRING (10.231314 55.9785895,10.231211 55.979595,10.231062 55.981176,10.231021 55.981555,10.230931 55.982341,10.230837 55.983249,10.2309502 55.9832467)","177509","727000622","727000612",K22,"527"
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14847 55.967534,10.148469 55.967482,10.148497 55.96744,10.148548 55.967407,10.148617 55.967385,10.148694 55.967377,10.148528 55.966723,10.148378 55.966011,10.148246 55.965313,10.148184 55.964987,10.147936 55.963681,10.147943 55.963407,10.147983 55.96311,10.148095 55.962813,10.148261 55.962536,10.148484 55.962233,10.151115 55.959392,10.152652 55.957717,10.153026 55.957281,10.153271 55.956843,10.153386 55.956464,10.1534 55.956143,10.153352 55.955777,10.1526774 55.952889,10.152003 55.950001,10.151993 55.949954,10.151447 55.947628,10.151105 55.946168,10.150768 55.944744,10.149864 55.940823,10.149752 55.940128,10.149767 55.939857,10.149813 55.939657,10.149937 55.939304,10.1512856 55.9372895,10.152634 55.935275,10.153064 55.934633,10.15325 55.934334,10.153394 55.934063,10.153525 55.933752,10.153639 55.933368,10.154225 55.931212,10.154373 55.930668,10.154446 55.930407,10.154532 55.930102,10.154634 55.929735,10.154662 55.929634,10.154703 55.929319,10.154692 55.92906,10.154664 55.928821,10.154332 55.926977,10.154283 55.926744,10.154248 55.926612,10.154197 55.926502,10.154126 55.926403,10.154057 55.926333,10.153943 55.926243,10.154067 55.926197,10.15424 55.926133,10.154442 55.92606,10.154532 55.926014,10.154909 55.925835,10.155136 55.925737,10.155573 55.925531,10.155909 55.925374,10.159416 55.923738,10.1597 55.923578,10.159895 55.923426,10.160095 55.923214,10.160178 55.923094,10.16162 55.919707,10.162099 55.918268,10.16225 55.917865,10.164545 55.911134,10.164841 55.910259,10.164983 55.909849,10.165442 55.908481,10.16547 55.908312,10.165475 55.908054,10.165396 55.907725,10.164827 55.905608,10.164311 55.903652,10.164269 55.903329,10.164275 55.903073,10.164295 55.902831,10.164369 55.902459,10.164643 55.901531,10.164847 55.900827,10.165233 55.899537,10.1652846 55.899362)","196897","727000701","727000509",K22,"8417"
"LINESTRING (10.149497 55.9714744,10.149568 55.971835,10.149619 55.972205,10.149676 55.972577,10.149881 55.972587,10.150273 55.972601,10.15035 55.972604,10.15041 55.97261,10.150612 55.972627,10.150666 55.972631,10.150868 55.972642,10.151282 55.972663,10.15165 55.972682,10.152488 55.972728,10.153047 55.972759,10.153173 55.972776,10.1534 55.972856,10.153483 55.972892,10.153643 55.972942,10.154129 55.973041,10.154323 55.973065,10.154615 55.973075,10.155231 55.973098,10.155299 55.9731,10.155489 55.973108,10.155734 55.973118,10.155959 55.97314,10.156161 55.973196,10.156613 55.973387,10.157725 55.97374,10.157847 55.973783,10.15799 55.973706,10.158106 55.973665,10.158335 55.973612,10.15976 55.973227,10.160454 55.973042,10.160855 55.972935,10.161287 55.972822,10.162182 55.972586,10.163427 55.972254,10.163487 55.972239,10.164693 55.971931,10.164889 55.971881,10.165025 55.971846,10.165938 55.971612,10.167126 55.97128,10.167448 55.97167,10.167647 55.97189,10.167802 55.972071,10.1679 55.972082,10.1679655 55.9720666)","180294","727000701","727002209",K22,"1415"
